2019-09-24 16:52:41,020 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:41,962 - INFO - clamp-backend is not ready.
2019-09-24 16:52:41,963 - INFO - clamp-backend is not ready.
2019/09/24 17:27:13.263066 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:27:43.263066 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:28:13.262949 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:28:43.263053 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:29:13.262974 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:29:43.263044 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:30:13.263011 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:30:43.263012 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:31:13.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:31:43.262925 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:32:13.264205 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:32:43.262901 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:33:13.262895 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:33:43.262925 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:34:13.262947 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:34:43.263013 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:35:13.263241 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:35:43.263067 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:36:13.262918 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:36:43.262935 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:37:13.262983 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:37:43.263007 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:38:13.263064 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:38:43.263000 metrics.go:34: INFO No non-zero metrics in the last 30s
